,0
0,1.0150383
1,1.0857387
2,1.0431678
3,1.0870122
4,1.0354308
5,1.0322613
6,1.0811957
7,1.0202029
8,1.0894799
9,1.0699564
10,1.08634
11,1.0985643
12,1.0287973
13,1.0905429
14,1.0713649
15,1.0807898
16,1.0117012
17,1.0060235
18,1.0141615
19,1.0317564
20,1.0922219
21,1.0505315
22,1.0437999
23,1.0609543
24,1.0889577
25,1.0566299
26,1.087988
27,1.0693799
28,1.0987917
29,1.0594764
30,1.0346451
31,1.0985038
32,1.0600592
33,1.062845
34,1.0587271
35,1.0321094
36,1.092508
37,1.0020624
38,1.094672
39,1.0479621
40,1.0118043
41,1.060908
42,1.0603297
43,1.0567323
44,1.0599546
45,1.0476602
46,1.0149037
47,1.091698
48,1.0868425
49,1.05868
50,1.0528082
51,1.0455874
52,1.0447407
53,1.0806383
54,1.0121317
55,1.0284845
56,1.0323824
57,1.0058368
58,1.0022424
59,1.0539366
60,1.0885752
61,1.061045
62,1.072402
63,1.0277894
64,1.0101175
65,1.0837828
66,1.0616255
67,1.0440459
68,1.058563
69,1.0000054
70,1.039345
71,1.0027065
72,1.0792078
73,1.0494096
74,1.0914356
75,1.02491
76,1.0051825
77,1.0535792
78,1.0266353
79,1.0165694
80,1.0568709
81,1.0823966
82,1.0196497
83,1.0682235
84,1.0241554
85,1.0591191
86,1.0476618
87,1.0484228
88,1.0194798
89,1.0177116
90,1.0451201
91,1.0746849
92,1.0032917
93,1.0922242
94,1.0038002
95,1.0907227
96,1.0002112
97,1.0945609
98,1.0841618
99,1.0184971
